Country Name,Country Code,EU,Euro,OECD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
South Korea,KOR,N,N,Y,8352.579893,9471.520346,10181.4991,11026.96267,12183.10703,13497.97804,14689.09436,15716.3477,14969.55423,16807.12948,18539.37698,19713.5273,21396.83775,22084.62639,23763.54553,25186.86757,26875.07048,29050.37565,29946.07749,29529.88442,31748.28179,32546.75365,33557.12872,34244.31214,35324.49767,37902.4004,39575.45428,41110.6448,43678.50118,44011.23151,
Switzerland,CHE,N,N,Y,27570.63283,27891.19366,28201.68449,28572.09127,29318.10659,29876.485,30505.98739,31804.75372,32917.79955,33814.07929,35765.17088,36778.54106,37718.3041,37716.28964,39173.23475,40572.26321,45092.86419,49734.03223,52584.73495,51796.53825,53112.42458,56183.83257,57849.58395,60108.51635,61902.16241,63921.80251,65726.81717,66910.5737,70877.78683,72376.02395,
Turkey,TUR,N,N,Y,8509.534817,8731.390038,9311.622779,10134.6621,9631.934637,10374.53224,11106.14804,11959.93163,9102.332907,8774.346907,9633.08799,9284.257046,9401.229885,9689.92538,10970.67036,12003.84652,13730.03839,14967.95278,16182.48235,15609.47313,17555.58965,19798.9515,20771.95079,22437.79517,24089.41101,25753.39182,26514.05762,28007.97483,28831.93193,28133.08865,
United States,USA,N,N,Y,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.13898,32853.67695,34513.5615,36334.90878,37133.24281,38023.16111,39496.48588,41712.80107,44114.74778,46298.73144,47975.9677,48382.55845,47099.98047,48467.51578,49886.81811,51610.60528,53117.66785,55064.74455,56839.38177,57951.58408,60062.22231,62996.47129,65297.51751,
Bulgaria,BGR,Y,N,N,7532.984171,7200.998255,6903.2174,7017.927475,7322.923425,7724.25711,6831.994244,5748.419342,6177.42266,5807.813965,6424.755754,6961.972768,7786.417002,8408.356022,9193.83106,10291.45339,11392.87662,12795.84125,14335.66902,14191.57151,14879.26701,15667.30812,16247.49048,16588.93335,17561.38213,18343.11078,20019.59128,21455.56436,23634.1734,25312.08023,
Croatia,HRV,Y,N,N,,,,,,7995.778258,8724.588524,9467.178322,9821.573943,9867.613424,10587.42603,11550.98805,12646.82769,13549.79446,14533.25416,15300.61249,17421.00708,19318.72112,20768.81211,20009.6279,19814.60197,20804.38888,21168.85123,21820.52052,22060.74113,23005.10114,24876.30967,26885.65841,29455.58326,31130.79377,
Romania,ROU,Y,N,N,5267.594094,4783.615216,4504.191855,4687.778103,4983.376138,5415.968478,5731.379494,5562.137041,5544.09454,5596.470889,5850.624221,6521.472893,7162.309673,7552.198645,8982.845042,9602.149434,11541.24506,13683.43762,16782.09886,16644.03893,16989.30704,17896.27586,18869.61921,19781.97957,20657.70707,21605.83668,24271.3661,27230.52382,30174.13526,33339.93515,
Czech Republic,CZE,Y,N,Y,12772.94664,11699.20644,11893.04341,12169.70316,12786.56648,13825.94573,14653.62038,14819.49464,14977.116,15396.31178,16242.54319,17628.67715,18252.57277,19517.93567,20914.73323,22095.38785,23891.70474,26250.47641,27974.48713,27781.94467,27903.25872,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38948.86299,42425.16695,44295.91719,
Denmark,DNK,Y,N,Y,18199.66428,19027.90173,19776.88817,20180.27697,21637.092,22641.34197,23682.99479,24919.71778,25813.01309,26653.8239,28670.59,29450.04298,30640.34562,30788.62457,32911.40153,34150.15946,37284.45475,38958.85953,41278.32683,40361.09639,43035.89206,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55533.44735,59276.21251,62089.91446,
Hungary,HUN,Y,N,Y,,8305.188671,8237.393882,8393.546545,8837.522064,9169.985105,9329.287542,9821.418236,10397.68136,10873.24786,11858.33445,13213.63563,14526.38826,15465.36538,16230.26066,17073.55143,18337.20517,19041.08789,20696.72857,20689.04664,21716.65091,22999.83061,23206.25512,24498.65877,25642.55668,26777.4704,27911.66484,29559.21447,32834.0394,34966.29809,
